"gkgrecordid","date","sourcecollectionidentifier","sourcecommonname","documentidentifier","counts","locations","organizations","themes","persons","tone","dates","amounts","translationinfo","country","year"
"20150527221500-1855","2015-05-27 22:15:00.000","1","theatlantic.com","http://www.theatlantic.com/video/index/391937/an-eccentric-inventor-and-his-quest-for-inspiration/",,"[{location_type=4, location_fullname=Saint-Pierre, Saint Pierre And Miquelon (General), Saint Pierre And Miquelon, location_countrycode=SB, location_adm1code=SB00, location_adm2code=25299, location_latitude=46.7667, location_longitude=-56.1833, location_featureid=-1187328, character_offset=449}, {location_type=4, location_fullname=London, London, City Of, United Kingdom, location_countrycode=UK, location_adm1code=UKH9, location_adm2code=40110, location_latitude=51.5, location_longitude=-0.116667, location_featureid=-2601889, character_offset=138}]",,"[{theme=TAX_FNCACT_INVENTOR, character_offset=168}, {theme=TAX_FNCACT_INVENTOR, character_offset=225}]","[{person=Dominic Wilcox, character_offset=127}]","{tone=7.07070707070707, positive_score=9.09090909090909, negative_score=2.02020202020202, polarity=11.1111111111111, activity_reference_density=16.1616161616162, self_group_reference_density=2.02020202020202, word_count=94}",,,,"SB","2015"
"20150515000000-497","2015-05-15 00:00:00.000","1","brisbanetimes.com.au","http://www.brisbanetimes.com.au/business/world-business/avon-products-shares-soar-after-apparent-hoax-offer-20150514-gh23jt.html",,"[{location_type=2, location_fullname=Texas, United States, location_countrycode=US, location_adm1code=USTX, location_adm2code=, location_latitude=31.106, location_longitude=-97.6475, location_featureid=TX, character_offset=1744}, {location_type=2, location_fullname=Texas, United States, location_countrycode=US, location_adm1code=USTX, location_adm2code=, location_latitude=31.106, location_longitude=-97.6475, location_featureid=TX, character_offset=2727}, {location_type=2, location_fullname=Texas, United States, location_countrycode=US, location_adm1code=USTX, location_adm2code=, location_latitude=31.106, location_longitude=-97.6475, location_featureid=TX, character_offset=2974}, {location_type=1, location_fullname=United Kingdom, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=610}, {location_type=1, location_fullname=United Kingdom, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=4889}, {location_type=1, location_fullname=Britain, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=668}, {location_type=3, location_fullname=Fort Worth, Texas, United States, location_countrycode=US, location_adm1code=USTX, location_adm2code=TX439, location_latitude=32.7254, location_longitude=-97.3208, location_featureid=1380947, character_offset=1721}, {location_type=3, location_fullname=Fort Worth, Texas, United States, location_countrycode=US, location_adm1code=USTX, location_adm2code=TX439, location_latitude=32.7254, location_longitude=-97.3208, location_featureid=1380947, character_offset=2951}, {location_type=2, location_fullname=New York, United States, location_countrycode=US, location_adm1code=USNY, location_adm2code=, location_latitude=42.1497, location_longitude=-74.9384, location_featureid=NY, character_offset=1982}, {location_type=1, location_fullname=Indonesia, location_countrycode=ID, location_adm1code=ID, location_adm2code=, location_latitude=-5, location_longitude=120, location_featureid=ID, character_offset=4853}, {location_type=4, location_fullname=London, London, City Of, United Kingdom, location_countrycode=UK, location_adm1code=UKH9, location_adm2code=40110, location_latitude=51.5, location_longitude=-0.116667, location_featureid=-2601889, character_offset=594}, {location_type=1, location_fullname=British, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=20}, {location_type=1, location_fullname=British, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=4786}, {location_type=1, location_fullname=British Indian Ocean Territory, location_countrycode=IO, location_adm1code=IO, location_adm2code=, location_latitude=-6, location_longitude=71.5, location_featureid=IO, character_offset=4809}]","[{organization=Exchange Commission, character_offset=948}, {organization=Bloomberg, character_offset=1332}, {organization=United Kingdom Foreign Office, character_offset=4904}, {organization=Reuters, character_offset=1320}, {organization=Reuters, character_offset=5094}]","[{theme=IDEOLOGY, character_offset=3599}, {theme=WB_678_DIGITAL_GOVERNMENT, character_offset=4760}, {theme=WB_667_ICT_INFRASTRUCTURE, character_offset=4760}, {theme=WB_669_SOFTWARE_INFRASTRUCTURE, character_offset=4760}, {theme=WB_2945_DATABASE, character_offset=4760}, {theme=WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES, character_offset=4760}, {theme=TAX_FNCACT_MANAGER, character_offset=2901}, {theme=MANMADE_DISASTER_IMPLIED, character_offset=560}, {theme=TAX_FNCACT_EXECUTIVE, character_offset=2919}, {theme=WB_1150_VOLATILITY, character_offset=2222}, {theme=WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT, character_offset=2222}, {theme=TRIAL, character_offset=2718}, {theme=TRIAL, character_offset=3010}, {theme=TAX_FNCACT_LAWYER, character_offset=2718}, {theme=TAX_FNCACT_LAWYER, character_offset=3010}, {theme=TAX_FNCACT_TRADERS, character_offset=2268}, {theme=INFO_HOAX, character_offset=148}, {theme=INFO_HOAX, character_offset=2521}, {theme=TAX_FNCACT_AUTHORITIES, character_offset=657}, {theme=TAX_FNCACT_SPOKESMAN, character_offset=904}, {theme=TAX_FNCACT_SPOKESMAN, character_offset=4866}, {theme=TAX_ETHNICITY_INDIAN, character_offset=4793}, {theme=ECON_STOCKMARKET, character_offset=465}, {theme=ECON_STOCKMARKET, character_offset=2163}, {theme=NEGOTIATIONS, character_offset=5007}, {theme=WB_698_TRADE, character_offset=484}, {theme=WB_698_TRADE, character_offset=1797}, {theme=TAX_FNCACT_SPOKESWOMAN, character_offset=685}, {theme=ACT_MAKESTATEMENT, character_offset=968}, {theme=ACT_MAKESTATEMENT, character_offset=3257}, {theme=LEGISLATION, character_offset=3142}, {theme=TAX_FNCACT_OFFICIAL, character_offset=1142}, {theme=INFO_RUMOR, character_offset=2322}]","[{person=Trose Cox, character_offset=2758}, {person=Michael Trose, character_offset=2743}, {person=Seth Setrakian, character_offset=1930}, {person=Steve Kohe, character_offset=2658}]","{tone=-1.83908045977011, positive_score=0.804597701149425, negative_score=2.64367816091954, polarity=3.44827586206897, activity_reference_density=23.448275862069, self_group_reference_density=0.689655172413793, word_count=810}","[{date_resolution=1, month=0, day=0, year=2012, offset=2420}]","[{amount=75, object=a share, character_offset=243}, {amount=04, object=by mid, character_offset=1485}, {amount=61000000, object=Avon shares changed hands, character_offset=1709}, {amount=3, object=separate instances due, character_offset=1788}]",,"IO","2015"
"20150515000000-2167","2015-05-15 00:00:00.000","1","smh.com.au","http://www.smh.com.au/business/world-business/avon-products-shares-soar-after-apparent-hoax-offer-20150514-gh23jt",,"[{location_type=2, location_fullname=Texas, United States, location_countrycode=US, location_adm1code=USTX, location_adm2code=, location_latitude=31.106, location_longitude=-97.6475, location_featureid=TX, character_offset=1744}, {location_type=2, location_fullname=Texas, United States, location_countrycode=US, location_adm1code=USTX, location_adm2code=, location_latitude=31.106, location_longitude=-97.6475, location_featureid=TX, character_offset=2727}, {location_type=2, location_fullname=Texas, United States, location_countrycode=US, location_adm1code=USTX, location_adm2code=, location_latitude=31.106, location_longitude=-97.6475, location_featureid=TX, character_offset=2974}, {location_type=1, location_fullname=United Kingdom, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=610}, {location_type=1, location_fullname=United Kingdom, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=4889}, {location_type=1, location_fullname=Britain, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=668}, {location_type=3, location_fullname=Fort Worth, Texas, United States, location_countrycode=US, location_adm1code=USTX, location_adm2code=TX439, location_latitude=32.7254, location_longitude=-97.3208, location_featureid=1380947, character_offset=1721}, {location_type=3, location_fullname=Fort Worth, Texas, United States, location_countrycode=US, location_adm1code=USTX, location_adm2code=TX439, location_latitude=32.7254, location_longitude=-97.3208, location_featureid=1380947, character_offset=2951}, {location_type=2, location_fullname=New York, United States, location_countrycode=US, location_adm1code=USNY, location_adm2code=, location_latitude=42.1497, location_longitude=-74.9384, location_featureid=NY, character_offset=1982}, {location_type=1, location_fullname=Indonesia, location_countrycode=ID, location_adm1code=ID, location_adm2code=, location_latitude=-5, location_longitude=120, location_featureid=ID, character_offset=4853}, {location_type=4, location_fullname=London, London, City Of, United Kingdom, location_countrycode=UK, location_adm1code=UKH9, location_adm2code=40110, location_latitude=51.5, location_longitude=-0.116667, location_featureid=-2601889, character_offset=594}, {location_type=1, location_fullname=British, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=20}, {location_type=1, location_fullname=British, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=4786}, {location_type=1, location_fullname=British Indian Ocean Territory, location_countrycode=IO, location_adm1code=IO, location_adm2code=, location_latitude=-6, location_longitude=71.5, location_featureid=IO, character_offset=4809}]","[{organization=Exchange Commission, character_offset=948}, {organization=Bloomberg, character_offset=1332}, {organization=United Kingdom Foreign Office, character_offset=4904}, {organization=Reuters, character_offset=1320}, {organization=Reuters, character_offset=5094}]","[{theme=IDEOLOGY, character_offset=3599}, {theme=WB_678_DIGITAL_GOVERNMENT, character_offset=4760}, {theme=WB_667_ICT_INFRASTRUCTURE, character_offset=4760}, {theme=WB_669_SOFTWARE_INFRASTRUCTURE, character_offset=4760}, {theme=WB_2945_DATABASE, character_offset=4760}, {theme=WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES, character_offset=4760}, {theme=TAX_FNCACT_MANAGER, character_offset=2901}, {theme=MANMADE_DISASTER_IMPLIED, character_offset=560}, {theme=TAX_FNCACT_EXECUTIVE, character_offset=2919}, {theme=WB_1150_VOLATILITY, character_offset=2222}, {theme=WB_1104_MACROECONOMIC_VULNERABILITY_AND_DEBT, character_offset=2222}, {theme=TRIAL, character_offset=2718}, {theme=TRIAL, character_offset=3010}, {theme=TAX_FNCACT_LAWYER, character_offset=2718}, {theme=TAX_FNCACT_LAWYER, character_offset=3010}, {theme=TAX_FNCACT_TRADERS, character_offset=2268}, {theme=INFO_HOAX, character_offset=148}, {theme=INFO_HOAX, character_offset=2521}, {theme=TAX_FNCACT_AUTHORITIES, character_offset=657}, {theme=TAX_FNCACT_SPOKESMAN, character_offset=904}, {theme=TAX_FNCACT_SPOKESMAN, character_offset=4866}, {theme=TAX_ETHNICITY_INDIAN, character_offset=4793}, {theme=ECON_STOCKMARKET, character_offset=465}, {theme=ECON_STOCKMARKET, character_offset=2163}, {theme=NEGOTIATIONS, character_offset=5007}, {theme=WB_698_TRADE, character_offset=484}, {theme=WB_698_TRADE, character_offset=1797}, {theme=TAX_FNCACT_SPOKESWOMAN, character_offset=685}, {theme=ACT_MAKESTATEMENT, character_offset=968}, {theme=ACT_MAKESTATEMENT, character_offset=3257}, {theme=LEGISLATION, character_offset=3142}, {theme=TAX_FNCACT_OFFICIAL, character_offset=1142}, {theme=INFO_RUMOR, character_offset=2322}]","[{person=Trose Cox, character_offset=2758}, {person=Michael Trose, character_offset=2743}, {person=Seth Setrakian, character_offset=1930}, {person=Steve Kohe, character_offset=2658}]","{tone=-1.83908045977011, positive_score=0.804597701149425, negative_score=2.64367816091954, polarity=3.44827586206897, activity_reference_density=23.448275862069, self_group_reference_density=0.689655172413793, word_count=810}","[{date_resolution=1, month=0, day=0, year=2012, offset=2420}]","[{amount=75, object=a share, character_offset=243}, {amount=04, object=by mid, character_offset=1485}, {amount=61000000, object=Avon shares changed hands, character_offset=1709}, {amount=3, object=separate instances due, character_offset=1788}]",,"IO","2015"
"20151113003000-1437","2015-11-13 00:30:00.000","1","thehindu.com","http://www.thehindu.com/news/national/tamil-nadu/fishermen-detained-by-british-navy-to-reach-home-tomorrow/article7871909.ece",,"[{location_type=5, location_fullname=Kerala, Kerala, India, location_countrycode=IN, location_adm1code=IN13, location_adm2code=17699, location_latitude=10, location_longitude=76.5, location_featureid=-2100307, character_offset=85}, {location_type=1, location_fullname=Briton, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=1187}, {location_type=4, location_fullname=Kanyakumari, Tamil Nadu, India, location_countrycode=IN, location_adm1code=IN25, location_adm2code=17870, location_latitude=8.07611, location_longitude=77.5483, location_featureid=-2099548, character_offset=47}, {location_type=4, location_fullname=Kanyakumari, Tamil Nadu, India, location_countrycode=IN, location_adm1code=IN25, location_adm2code=17870, location_latitude=8.07611, location_longitude=77.5483, location_featureid=-2099548, character_offset=345}, {location_type=4, location_fullname=Kanyakumari, Tamil Nadu, India, location_countrycode=IN, location_adm1code=IN25, location_adm2code=17870, location_latitude=8.07611, location_longitude=77.5483, location_featureid=-2099548, character_offset=809}, {location_type=4, location_fullname=Diego Garcia, British Indian Ocean Territory (General), British Indian Ocean Territory, location_countrycode=IO, location_adm1code=IO00, location_adm2code=18585, location_latitude=-7.31754, location_longitude=72.4524, location_featureid=-1203994, character_offset=196}, {location_type=1, location_fullname=British, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=121}, {location_type=1, location_fullname=British, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=155}, {location_type=1, location_fullname=British, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=205}, {location_type=1, location_fullname=British, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=288}, {location_type=1, location_fullname=British, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=659}, {location_type=1, location_fullname=British, location_countrycode=UK, location_adm1code=UK, location_adm2code=, location_latitude=54, location_longitude=-2, location_featureid=UK, character_offset=1045}, {location_type=1, location_fullname=British Indian Ocean Territory, location_countrycode=IO, location_adm1code=IO, location_adm2code=, location_latitude=-6, location_longitude=71.5, location_featureid=IO, character_offset=178}, {location_type=1, location_fullname=British Indian Ocean Territory, location_countrycode=IO, location_adm1code=IO, location_adm2code=, location_latitude=-6, location_longitude=71.5, location_featureid=IO, character_offset=228}, {location_type=1, location_fullname=British Indian Ocean Territory, location_countrycode=IO, location_adm1code=IO, location_adm2code=, location_latitude=-6, location_longitude=71.5, location_featureid=IO, character_offset=682}, {location_type=1, location_fullname=British Indian Ocean Territory, location_countrycode=IO, location_adm1code=IO, location_adm2code=, location_latitude=-6, location_longitude=71.5, location_featureid=IO, character_offset=1068}]","[{organization=Southern Oceans Department, character_offset=731}, {organization=Moody, character_offset=625}, {organization=Moody, character_offset=980}, {organization=International Fishermen Development Trust, character_offset=453}, {organization=British Navy, character_offset=126}, {organization=British Navy, character_offset=293}]","[{theme=TAX_ETHNICITY_INDIAN, character_offset=162}, {theme=TAX_ETHNICITY_INDIAN, character_offset=212}, {theme=TAX_ETHNICITY_INDIAN, character_offset=666}, {theme=TAX_ETHNICITY_INDIAN, character_offset=1001}, {theme=TAX_ETHNICITY_INDIAN, character_offset=1052}, {theme=TAX_FNCACT_PRIME_MINISTER, character_offset=1202}, {theme=TAX_FNCACT_ADMINISTRATOR, character_offset=641}, {theme=TAX_FNCACT_FOUNDER, character_offset=398}, {theme=MILITARY, character_offset=126}, {theme=MILITARY, character_offset=293}, {theme=TAX_FNCACT_NAVY, character_offset=126}, {theme=TAX_FNCACT_NAVY, character_offset=293}, {theme=LEADER, character_offset=408}, {theme=TAX_FNCACT_PRESIDENT, character_offset=408}, {theme=USPEC_POLITICS_GENERAL1, character_offset=408}, {theme=WB_137_WATER, character_offset=1095}, {theme=ARREST, character_offset=106}, {theme=CRISISLEX_C07_SAFETY, character_offset=106}, {theme=TAX_FNCACT_AUTHORITIES, character_offset=1220}, {theme=CRISISLEX_CRISISLEXREC, character_offset=1220}, {theme=LEGISLATION, character_offset=1030}, {theme=MARITIME, character_offset=22}, {theme=MARITIME, character_offset=255}, {theme=MARITIME, character_offset=435}, {theme=MARITIME, character_offset=497}, {theme=MARITIME, character_offset=792}, {theme=MARITIME, character_offset=1011}, {theme=MARITIME, character_offset=1241}, {theme=TAX_FNCACT_FISHERMEN, character_offset=22}, {theme=TAX_FNCACT_FISHERMEN, character_offset=255}, {theme=TAX_FNCACT_FISHERMEN, character_offset=435}, {theme=TAX_FNCACT_FISHERMEN, character_offset=497}, {theme=TAX_FNCACT_FISHERMEN, character_offset=792}, {theme=TAX_FNCACT_FISHERMEN, character_offset=1011}, {theme=TAX_FNCACT_FISHERMEN, character_offset=1241}, {theme=WB_2670_JOBS, character_offset=914}, {theme=WB_2670_JOBS, character_offset=1295}, {theme=TAX_FNCACT_MINISTER, character_offset=1202}]","[{person=Justin Antony, character_offset=388}, {person=Justin Antony, character_offset=1359}, {person=Tom Moody, character_offset=625}]","{tone=-2.88461538461538, positive_score=1.44230769230769, negative_score=4.32692307692308, polarity=5.76923076923077, activity_reference_density=16.3461538461538, self_group_reference_density=0, word_count=191}","[{date_resolution=4, month=10, day=6, year=0, offset=196}, {date_resolution=4, month=11, day=7, year=0, offset=238}, {date_resolution=4, month=9, day=27, year=0, offset=530}]",,,"IO","2015"
"20151224041500-653","2015-12-24 04:15:00.000","1","eturbonews.com","http://www.eturbonews.com/67073/reunion-island-destination-no-tourist-limitations",,"[{location_type=1, location_fullname=French, location_countrycode=FR, location_adm1code=FR, location_adm2code=, location_latitude=46, location_longitude=2, location_featureid=FR, character_offset=11}, {location_type=1, location_fullname=French, location_countrycode=FR, location_adm1code=FR, location_adm2code=, location_latitude=46, location_longitude=2, location_featureid=FR, character_offset=2613}, {location_type=4, location_fullname=Saint-Pierre, Saint Pierre And Miquelon (General), Saint Pierre And Miquelon, location_countrycode=SB, location_adm1code=SB00, location_adm2code=25299, location_latitude=46.7667, location_longitude=-56.1833, location_featureid=-1187328, character_offset=2389}, {location_type=4, location_fullname=Saint-Pierre, Saint Pierre And Miquelon (General), Saint Pierre And Miquelon, location_countrycode=SB, location_adm1code=SB00, location_adm2code=25299, location_latitude=46.7667, location_longitude=-56.1833, location_featureid=-1187328, character_offset=2961}]","[{organization=National Park House In La, character_offset=1891}]","[{theme=WB_1777_FORESTS, character_offset=2050}, {theme=WB_590_ECOSYSTEMS, character_offset=2050}, {theme=TAX_FNCACT_TOURIST, character_offset=1751}, {theme=NATURAL_DISASTER_VOLCANO, character_offset=1939}, {theme=CRISISLEX_C07_SAFETY, character_offset=1057}, {theme=TOURISM, character_offset=27}, {theme=TOURISM, character_offset=83}, {theme=TOURISM, character_offset=2888}, {theme=WB_825_TOURISM, character_offset=27}, {theme=WB_825_TOURISM, character_offset=83}, {theme=WB_825_TOURISM, character_offset=2888}, {theme=WB_1921_PRIVATE_SECTOR_DEVELOPMENT, character_offset=27}, {theme=WB_1921_PRIVATE_SECTOR_DEVELOPMENT, character_offset=83}, {theme=WB_1921_PRIVATE_SECTOR_DEVELOPMENT, character_offset=2888}, {theme=WB_346_COMPETITIVE_INDUSTRIES, character_offset=27}, {theme=WB_346_COMPETITIVE_INDUSTRIES, character_offset=83}, {theme=WB_346_COMPETITIVE_INDUSTRIES, character_offset=2888}, {theme=WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS, character_offset=27}, {theme=WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS, character_offset=83}, {theme=WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS, character_offset=2888}, {theme=WB_135_TRANSPORT, character_offset=485}, {theme=DISABILITY, character_offset=36}, {theme=DISABILITY, character_offset=2464}, {theme=DISABILITY, character_offset=2897}, {theme=WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION, character_offset=36}, {theme=WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION, character_offset=2464}, {theme=WB_1458_HEALTH_PROMOTION_AND_DISEASE_PREVENTION, character_offset=2897}, {theme=WB_635_PUBLIC_HEALTH, character_offset=36}, {theme=WB_635_PUBLIC_HEALTH, character_offset=2464}, {theme=WB_635_PUBLIC_HEALTH, character_offset=2897}, {theme=WB_1464_HEALTH_OF_THE_DISABLED, character_offset=36}, {theme=WB_1464_HEALTH_OF_THE_DISABLED, character_offset=2464}, {theme=WB_1464_HEALTH_OF_THE_DISABLED, character_offset=2897}, {theme=WB_621_HEALTH_NUTRITION_AND_POPULATION, character_offset=36}, {theme=WB_621_HEALTH_NUTRITION_AND_POPULATION, character_offset=2464}, {theme=WB_621_HEALTH_NUTRITION_AND_POPULATION, character_offset=2897}, {theme=TAX_ETHNICITY_FRENCH, character_offset=11}, {theme=TAX_ETHNICITY_FRENCH, character_offset=2613}, {theme=TAX_WORLDLANGUAGES_FRENCH, character_offset=11}, {theme=TAX_WORLDLANGUAGES_FRENCH, character_offset=2613}, {theme=GEN_HOLIDAY, character_offset=273}, {theme=GEN_HOLIDAY, character_offset=591}, {theme=GEN_HOLIDAY, character_offset=1687}, {theme=TAX_ECON_PRICE, character_offset=1509}, {theme=TAX_WORLDLANGUAGES_SIGN_LANGUAGE, character_offset=2627}, {theme=TAX_WORLDLANGUAGES_FRENCH_SIGN_LANGUAGE, character_offset=2627}, {theme=WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES, character_offset=1879}, {theme=WB_3007_NATIONAL_PARKS, character_offset=1879}, {theme=WB_1833_PROTECTED_AREAS_SYSTEMS, character_offset=1879}, {theme=WB_1829_ECOSYSTEM_MANAGEMENT, character_offset=1879}, {theme=WB_405_BUSINESS_CLIMATE, character_offset=790}, {theme=WB_2531_INSPECTIONS_LICENSING_AND_PERMITS, character_offset=790}, {theme=WB_2530_BUSINESS_ENVIRONMENT, character_offset=790}, {theme=TAX_FNCACT_DRIVERS, character_offset=947}, {theme=PUBLIC_TRANSPORT, character_offset=1110}]",,"{tone=2.78884462151394, positive_score=5.57768924302789, negative_score=2.78884462151394, polarity=8.36653386454183, activity_reference_density=21.3147410358566, self_group_reference_density=0, word_count=437}","[{date_resolution=2, month=5, day=0, year=2001, offset=112}, {date_resolution=1, month=0, day=0, year=2012, offset=2444}]","[{amount=650000000, object=people, character_offset=316}, {amount=2, object=new vehicles dedicated, character_offset=681}, {amount=6, object=regular seats plus three, character_offset=1122}, {amount=3, object=places, character_offset=1143}, {amount=250, object=meters long across a, character_offset=1842}, {amount=12, object=panels, character_offset=1874}, {amount=300, object=sites, character_offset=2408}]",,"SB","2015"
